"constituency_no","constituency","name","education","role","image_url"
"182","Alangudi","Durai Kandasamy","BA. BL","Party Administrator","https://d462xg1zgerhx.cloudfront.net/182.jpg"
"183","Aranthangi","J. Mohammed Farvas","B.A.,LLB(HONS)","Pudukkottai Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/183-1.jpg"
"184","Karaikkudi","T.K. Prabhu","BDS., MSD., MSC., ICDI., FICOI","Sivaganga East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/184-2.jpg"
"185","Tiruppathur (Sivaganga)","Seenivasa Sethupathy","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/185.jpg"
"186","Sivagangai","A. Kulanthai Rani","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/186.jpg"
"187","Manamadurai","D. Elangovan","B.Pharm","Party Administrator","https://d462xg1zgerhx.cloudfront.net/187.jpg"
"188","Melur","A. Maduraiveeran","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/188-1.jpg"
"189","Madurai East","S. Karthikeyan","BA. LLB","Party Administrator","https://d462xg1zgerhx.cloudfront.net/189.jpg"
"190","Sholavandan","M.V. Karuppaiya Ex. MLA","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/190-1.jpg"
"191","Madurai North","A. Kallanai","B.Com","District Party Secretary, Madurai City North","https://d462xg1zgerhx.cloudfront.net/191.jpg"
"192","Madurai South","M.M. Gopisan","DCE","Party Administrator","https://d462xg1zgerhx.cloudfront.net/192-1.jpg"
"193","Madurai Central","VMS. Mustafa","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/193-1.jpg"
"194","Madurai West","S.R. Thangapandi","","District Party Secretary, Madurai City South","https://d462xg1zgerhx.cloudfront.net/194.jpg"
"195","Thiruparangundram","CTR Nirmal Kumar","B.E., LLB., MA","Joint General Secretary of the Party","https://d462xg1zgerhx.cloudfront.net/195a.jpg"
"196","Thirumangalam","N. Sathishkumar","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/196.jpg"
"197","Usilampatti","M. Vijay","BA., BL","Madurai Suburban West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/197a.jpg"
"198","Andipatti","V. Pandi","","Theni South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/198.jpg"
"199","Periyakulam","G. Sabari Iyngaran","M.Sc, M.Ed","Party Administrator","https://d462xg1zgerhx.cloudfront.net/199.jpg"
"200","Bodinayakanur","S. Prakash","DEEE","Theni North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/200.jpg"
"201","Cumbum","P.L.A Jeganath Mishra","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/201.jpg"
"202","Rajapalayam","K. Jagadeshwari","BSc","Virudhunagar South-West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/202-1.jpg"
"203","Srivilliputhur","A. Karthik","MA. MEd","Union Party Secretary","https://d462xg1zgerhx.cloudfront.net/203-1.jpg"
"204","Satthur","M. Ajith","MCA","District Joint Secretary","https://d462xg1zgerhx.cloudfront.net/204.jpg"
"205","Sivakasi","S. Keerthana","MSc","Party Administrator","https://d462xg1zgerhx.cloudfront.net/205-1.jpg"
"206","Virudhunagar","S. P. Selvam","DCE","Virudhunagar East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/206-1.jpg"
"207","Aruppukkottai","K. Karthik Kumar","ITI","Party Administrator","https://d462xg1zgerhx.cloudfront.net/207.jpg"
"208","Tiruchuzhi","S. Samaiyan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/208.jpg"
"209","Paramakkudi","G. Gopirajan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/209.jpg"
"210","Tiruvadanai","V.K. Rajeev","MBBS., PGDFS., CCEBDM","Party Administrator","https://d462xg1zgerhx.cloudfront.net/210-1.jpg"
"211","Ramanathapuram","EA. Shahul Hameed","MBBS, MD, Dip","Party Administrator","https://d462xg1zgerhx.cloudfront.net/211.jpg"
"212","Muthugulathur","B. Malarvizhi Jayabala","","Ramanathapuram East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/212.jpg"
"213","Vilathikulam","P. Kasiram","","Thoothukudi North-East District Joint Secretary","https://d462xg1zgerhx.cloudfront.net/213-1.jpg"
